cultivar,year,pedigree
T-9,1911,Landrace
C-518,1933,T9/8?A
C-217,1944,C 516 X C 591
C-271,1957,C230/IP165
Dirk,1958,C-271/WILLET-DWARF//SONORA-64
Maxipak-65,1965,PJ/GB55 or PJ62/GB55
Photowar-70,1970,BURT/KENYA//QUETA(L)/3/NAD63
Pari-73,1973,CNO67//SN64/KLRE/3/8156
Pak-81,1981,KVZ/BUHO//KAL/BB
Barani-83,1983,BB/GLL/3/GTO/7?C//BB/CNO67
Chakwal-86,1986,FORLANI/ACC//ANA
Rawal-87,1987,MAYA/MON//KVZ/TRM
Pasban-90,1990,INIA F66/TH.DISTICHUM//INIAF66/3/GENARO T81
Inquilab-91,1991,LR64A/NAI60
Parwaz-94,1994,C271/WT(E)/SN64
Punjab-96,1996,URES/BOW’S
Chakwal-97,1998,BUC’S’/FCT’S’
GA-2002,2002,DWL5023/SNB//SNB
Seher-2006,2006,CNO67//SN64/KLRE/3/8156
Chakwal-50,2008,ATTILA/3/HUI/CARC//CHEN/CHTO/4/ATTILA
NARC-2009,2009,INQALAB 91*2/TUKURU
Dharabi-2011,2011,HXL-7573/2*BAGULA//PASTOR
Pakistan-13,2013,MEX94.27.1.20/3/Sokoll//Attila/3*BCN
Ujala-2016,2016,KIRITATI/4/2*WEAVER/TSC//WEAVER/3/WEAVER
